Country or Area,Year,"Kilowatt-hours, million"
Algeria,2017,19
Algeria,2016,19
Algeria,2015,19
Argentina,2016,547
Argentina,2015,599
Argentina,2014,619
Argentina,2013,461
Argentina,2012,369
Argentina,2011,26
Argentina,2010,25
Argentina,2009,36
Argentina,2008,42
Argentina,2007,61
Argentina,2006,70
Argentina,2005,75
Argentina,2004,72
Argentina,2003,78
Argentina,2002,73
Argentina,2001,49
Argentina,2000,35
Argentina,1999,35
Argentina,1998,33
Argentina,1997,15
Argentina,1996,10
Armenia,2017,2
Armenia,2016,2
Armenia,2015,3
Armenia,2014,4
Armenia,2013,4
Armenia,2012,4
Armenia,2011,6
Armenia,2010,7
Armenia,2009,4
Armenia,2008,2
Aruba,2016,138.4
Aruba,2015,138.4
Aruba,2014,138.4
Aruba,2013,138.4
Aruba,2012,136.4
Aruba,2011,112.6
Aruba,2010,106.5
Australia,2016,12199
Australia,2015,11467
Australia,2014,10252
Australia,2013,7960
Australia,2012,6970
Australia,2011,6085
Australia,2010,5052
Australia,2009,3824
Australia,2008,3093
Australia,2007,2611
Australia,2006,1713
Australia,2005,885
Australia,2004,705
Australia,2003,703
Australia,2002,364
Australia,2001,210
Australia,2000,58
Australia,1999,28
Australia,1998,8
Australia,1997,7
Australia,1996,7
Australia,1995,7
Australia,1994,4
Austria,2016,5235
Austria,2015,4840
Austria,2014,3846
Austria,2013,3153
Austria,2012,2462
Austria,2011,1936
Austria,2010,2064
Austria,2009,1954
Austria,2008,2011
Austria,2007,2037
Austria,2006,1753
Austria,2005,1331
Austria,2004,934
Austria,2003,372
Austria,2002,140
Austria,2001,105
Austria,2000,67
Austria,1999,51
Austria,1998,45
Austria,1997,20
Austria,1996,5
Austria,1995,1
Azerbaijan,2016,6
Azerbaijan,2015,5
Azerbaijan,2014,2
Azerbaijan,2013,1
Azerbaijan,2010,1
Azerbaijan,2009,2
Bahrain,2016,1
Bangladesh,2016,5
Bangladesh,2015,4
Bangladesh,2014,4
Bangladesh,2013,4
Belarus,2016,74
Belarus,2015,18
Belarus,2014,7
Belarus,2013,6
Belarus,2012,4
Belgium,2016,5410
Belgium,2015,5543
Belgium,2014,4587
Belgium,2013,3644
Belgium,2012,2729
Belgium,2011,2298
Belgium,2010,1281
Belgium,2009,987
Belgium,2008,631
Belgium,2007,485
Belgium,2006,363
Belgium,2005,225
Belgium,2004,139
Belgium,2003,86
Belgium,2002,55
Belgium,2001,35
Belgium,2000,14
Belgium,1999,13
Belgium,1998,11
Belgium,1997,8
Belgium,1996,8
Belgium,1995,9
Belgium,1994,9
Belgium,1993,8
Belgium,1992,9
Belgium,1991,8
Belgium,1990,7
Bhutan,2016,0.71
Bolivia (Plur. State of),2016,35
Bolivia (Plur. State of),2015,12
Bolivia (Plur. State of),2014,8
Bolivia (Plur. State of),2013,1
"Bonaire, St Eustatius, Saba",2016,35.6
"Bonaire, St Eustatius, Saba",2015,40.1
"Bonaire, St Eustatius, Saba",2014,41.2
"Bonaire, St Eustatius, Saba",2013,36.7
"Bonaire, St Eustatius, Saba",2012,32.5
Brazil,2017,42352
Brazil,2016,33485
Brazil,2015,21623
Brazil,2014,12208
Brazil,2013,6576
Brazil,2012,5050
Brazil,2011,2705
Brazil,2010,2177
Brazil,2009,1238
Brazil,2008,837
Brazil,2007,645
British Virgin Islands,2016,1.05
British Virgin Islands,2015,1.05
British Virgin Islands,2014,1.05
British Virgin Islands,2013,1.05
British Virgin Islands,2012,1.05
British Virgin Islands,2011,1.05
Bulgaria,2016,1425
Bulgaria,2015,1452
Bulgaria,2014,1331
Bulgaria,2013,1374
Bulgaria,2012,1221
Bulgaria,2011,861
Bulgaria,2010,681
Bulgaria,2009,237
Bulgaria,2008,122
Bulgaria,2007,47
Bulgaria,2006,20
Bulgaria,2005,5
Bulgaria,2004,1
Cabo Verde,2016,76.9
Cabo Verde,2015,78.4
Cabo Verde,2014,65.67
Cabo Verde,2013,75.82
Cabo Verde,2012,61.4
Cabo Verde,2011,15.61
Cabo Verde,2010,1.99
Cabo Verde,2009,4.66
Cabo Verde,2008,5.51
Cabo Verde,2007,6.87
Cabo Verde,2006,7.44
Cabo Verde,2005,6.45
Cabo Verde,2004,6.43
Cabo Verde,2003,5.37
Cabo Verde,2002,5.66
Cabo Verde,2001,6.43
Cabo Verde,2000,7.9
Cabo Verde,1999,7.8
Cabo Verde,1998,7.6
Cabo Verde,1997,7.2
Cabo Verde,1996,7.1
Cabo Verde,1995,6.3
Cabo Verde,1994,5.4
Cabo Verde,1993,2
Canada,2016,29638
Canada,2015,26060
Canada,2014,22410
Canada,2013,17945
Canada,2012,11306
Canada,2011,10186
Canada,2010,8722
Canada,2009,6639
Canada,2008,3787
Canada,2007,3006
Canada,2006,2472
Canada,2005,1566
Canada,2004,954
Canada,2003,826
Canada,2002,408
Canada,2001,337
Canada,2000,264
Canada,1999,164
Canada,1998,62
Canada,1997,62
Canada,1996,62
Canada,1995,59
Canada,1994,59
Canada,1993,59
Canada,1992,59
Chile,2016,2449
Chile,2015,2112
Chile,2014,1424
Chile,2013,535
Chile,2012,387
Chile,2011,332
Chile,2010,332
Chile,2009,79
Chile,2008,38
Chile,2007,9
Chile,2006,7
Chile,2005,7
Chile,2004,7
Chile,2003,7
Chile,2002,7
Chile,2001,7
China,2016,237071
China,2015,185766
China,2014,156078
China,2013,141197
China,2012,95978
China,2011,70331
China,2010,44622
China,2009,26900
China,2007,5710
Colombia,2016,51
Colombia,2015,58
Colombia,2014,58
Colombia,2013,58
Colombia,2012,55
Colombia,2011,41
Colombia,2010,38
Colombia,2009,58
Colombia,2008,0
Colombia,2007,49
Colombia,2006,63
Colombia,2005,49.48
Colombia,2004,52
Colombia,2003,0
Colombia,2002,0
Costa Rica,2016,77.78
Costa Rica,2015,104.3005556
Costa Rica,2014,110.016944
Costa Rica,2013,83.781111
Costa Rica,2012,89.366111
Costa Rica,2011,79.431944
Costa Rica,2010,64.313889
Costa Rica,2009,80.344444
Costa Rica,2008,53
Costa Rica,2007,73.402778
Costa Rica,2006,85.911111
Costa Rica,2005,60
Costa Rica,2004,81
Costa Rica,2003,110
Costa Rica,2002,159
Costa Rica,2001,185
Costa Rica,2000,183
Costa Rica,1999,101
Costa Rica,1998,89
Croatia,2016,1014
Croatia,2015,796
Croatia,2014,730
Croatia,2013,517
Croatia,2012,329
Croatia,2011,201
Croatia,2010,139
Croatia,2009,54
Croatia,2008,40
Croatia,2007,35
Croatia,2006,19
Croatia,2005,10
Croatia,2004,2
Croatia,2003,0
Croatia,2002,0
Croatia,2001,0
Croatia,2000,0
Curaçao,2016,200
Curaçao,2015,32
Curaçao,2014,32
Curaçao,2013,32
Curaçao,2012,32
Cyprus,2016,226
Cyprus,2015,221
Cyprus,2014,182
Cyprus,2013,231
